create_date,uuid,label,action,pose,usrn_len,pswd_len,total_time,hold-time,inter-time,distance
2023-09-14-10:50:36,e1ea37032e7d45bb80647214daa031c3,yangxiaoyu,1,3,11,10,10519,"[1, 81, 61, 57, 98, 80, 83, 63, 65, 74, 57, 88, 61, 88, 64, 75, 77, 64, 77, 79, 55]","[0, 123, 288, 153, 558, 170, 413, 328, 195, 445, 168, 1251, 804, 314, 566, 257, 303, 317, 278, 546, 276]","[0, 273.86148161271444, 203.37267378987877, 258.0310058888272, 296.00018768762817, 235.7128667585959, 235.03994932304127, 239.0009297982844, 7.520342781785594, 162.334702252955, 197.333614864664, 122.09013064126025, 186.06599784903088, 233.43093196918016, 71.62324265829417, 115.89315002286467, 221.40209775178033, 262.3587450631503, 297.65341515856244, 112.72631557104232, 37.20961643924263]"
2023-09-14-10:51:10,c09cedb6fcbe4853991215bcc50cd0e6,yangxiaoyu,1,2,11,10,10942,"[43, 28, 60, 44, 69, 35, 67, 46, 66, 65, 59, 49, 37, 53, 48, 61, 54, 40, 53, 77, 57]","[0, 461, 496, 469, 534, 800, 559, 461, 112, 277, 382, 1162, 374, 466, 170, 241, 228, 433, 528, 281, 96]","[0, 257.2800031094527, 189.3287851566393, 266.1692235318643, 298.0029828336921, 231.10603626906845, 233.45925173833274, 225.3372780719801, 6.2271805640897915, 134.83158218887573, 181.82836840151083, 121.77392532430281, 185.66666666666666, 213.05111541078065, 78.93738728328364, 84.62745154827458, 199.87669810271646, 251.78143078648375, 288.5813961817744, 103.5272374251766, 25.84139659108576]"
2023-09-14-10:51:51,8423690dc0fc4df58bf93e6519ae845a,yangxiaoyu,1,1,11,10,14636,"[2, 69, 69, 66, 72, 60, 64, 33, 67, 71, 52, 61, 62, 78, 80, 73, 65, 72, 86, 80, 63]","[0, 766, 393, 468, 407, 491, 1719, 634, 227, 480, 561, 1287, 539, 899, 179, 204, 201, 553, 846, 238, 87]","[0, 275.4803884933453, 202.36078891151044, 263.25863919558486, 308.1413816920914, 235.15975657223143, 225.7857883530809, 224.85674451871697, 4.71404520791037, 139.90790621770535, 181.0012277429201, 125.11772234357701, 177.85168602580697, 213.91924748475637, 76.64709895213112, 105.49460228424537, 215.72461869501848, 244.35175010172892, 269.73773270427785, 94.56861118903156, 34.72431104828116]"
2023-09-14-10:52:59,96096a11cbd44671ad50c5153597dd08,yangxiaoyu,1,4,11,10,10861,"[37, 47, 57, 38, 24, 47, 40, 39, 55, 55, 48, 59, 30, 53, 57, 70, 58, 66, 61, 81, 81]","[0, 688, 278, 438, 887, 366, 317, 621, 110, 256, 378, 1507, 297, 372, 138, 215, 199, 316, 351, 256, 94]","[0, 264.0538665584059, 186.67410699457554, 253.3649103127301, 294.33352208374464, 229.440139857388, 223.19523093272198, 223.0002491279126, 6.749485577105571, 146.0435627551664, 183.19403799129375, 116.61903789690606, 175.87937785754065, 216.78073920182322, 78.31631020703445, 96.7416375943908, 204.58969779645412, 249.61948819931683, 286.4264497407862, 107.08771067577165, 36.849543944109904]"
2023-09-14-10:54:06,d55917d5497647a88569bb21d7a2c577,yangxiaoyu,1,5,11,10,8834,"[79, 47, 67, 1, 47, 54, 65, 40, 73, 123, 35, 53, 32, 69, 55, 72, 60, 21, 53, 59, 46]","[0, 103, 271, 767, 478, 246, 161, 311, 70, 130, 121, 1234, 303, 209, 118, 569, 223, 230, 356, 547, 104]","[0, 262.58987879285155, 173.00802807320184, 249.0988201943603, 294.9681715409685, 224.26992665089992, 223.86553503783873, 224.0049602625402, 2.5385910352879, 153.19196381591885, 189.41811482068502, 118.17971249095352, 196.51180343401487, 221.67293224227646, 75.96782944846531, 118.0814220028799, 228.0762543049534, 272.31068857301784, 303.1913587159106, 107.32401615875378, 41.39914116124744]"
2023-09-14-12:52:17,e9b5932112b44ea486a20a9c867a8626,ganjiaqi,1,1,11,8,20981,"[59, 77, 70, 106, 107, 82, 115, 93, 89, 73, 96, 30, 65, 107, 84, 62, 52, 48, 88, 64, 71, 83, 87, 73, 83, 63, 73]","[0, 832, 562, 297, 253, 228, 279, 186, 521, 465, 625, 3093, 78, 137, 83, 667, 1121, 464, 662, 2400, 483, 609, 766, 128, 303, 179, 331]","[0, 145.65583167788083, 111.5544816081537, 29.544871099465343, 60.003155735551516, 35.32034296576034, 37.108508729378265, 28.18199517548404, 304.95350310047996, 98.28060298490705, 214.76350003374776, 142.50672152734896, 0.3076923076923208, 2.3433148018043046, 1.2307692307692832, 151.01706475148376, 323.7345687533495, 90.82136703474119, 235.6169793260782, 192.27519725458592, 157.37070394942782, 218.50595431476444, 69.04727820282949, 52.05004419394583, 254.89108940020108, 56.14857720275288, 248.00019087604792]"
2023-09-14-12:53:14,e1900c396a63491dac757edddfddc7c5,ganjiaqi,1,2,11,8,10478,"[72, 44, 55, 87, 47, 1, 63, 47, 62, 51, 1, 71, 65, 81, 68, 58, 83, 73, 56]","[0, 555, 499, 506, 207, 229, 93, 171, 571, 696, 533, 1786, 255, 286, 176, 118, 286, 170, 306]","[0, 150.16172740981048, 117.94894091394758, 32.63569759322527, 71.3905833049106, 46.7732791770089, 59.43560983094502, 47.605877017729796, 337.207466909683, 118.05845508292937, 223.70585082269906, 197.6192022866858, 169.39181148690915, 229.54794783449836, 63.63951732752586, 52.33754804068723, 261.36845153082515, 42.852160882593765, 275.3853029643328]"
2023-09-14-12:54:10,2b342bc12b9f46d19f90b1d48633f6a1,ganjiaqi,1,3,11,8,9010,"[74, 65, 63, 55, 65, 74, 57, 67, 81, 68, 65, 77, 58, 84, 83, 91, 86, 75, 54]","[0, 305, 373, 413, 129, 111, 94, 118, 245, 402, 120, 2037, 129, 100, 412, 76, 98, 153, 20]","[0, 152.51764860531608, 113.85280645843356, 45.87402353732401, 78.57969986433667, 37.71584822194234, 39.587219263217776, 37.84740460722447, 333.8633104418207, 118.05845508292934, 209.54659421696405, 181.67009569172095, 158.50454980123538, 221.36104006615886, 62.44334710466065, 54.467622432883246, 249.3826697594108, 61.97537208893647, 253.01589163552222]"
2023-09-14-12:55:12,a84c08d773ed48e08fcc98c041a2deea,ganjiaqi,1,4,11,8,15217,"[100, 63, 63, 73, 72, 85, 70, 66, 73, 62, 69, 85, 64, 89, 74, 81, 65, 69, 95, 90, 79, 35, 51]","[0, 698, 658, 246, 356, 127, 145, 255, 769, 605, 847, 1020, 129, 802, 529, 1405, 471, 525, 223, 147, 613, 353, 554]","[0, 153.25579035751474, 112.62589274219467, 40.568737781783426, 69.62078177123456, 34.387282636180984, 40.99704131336434, 40.912664956540674, 330.4758627464162, 127.20016374519624, 220.22516718203445, 37.73592452822635, 1.5384615384615246, 242.9113360050603, 209.831039383494, 183.80591770836807, 158.8053029982155, 220.0240976581789, 66.01703205014634, 58.209171891616016, 271.5312703340644, 51.49872176273183, 260.93196646685584]"
2023-09-14-12:56:05,c8c58674e2ef424eb34c8c123985c1c8,ganjiaqi,1,5,11,8,21381,"[74, 67, 80, 81, 79, 2, 98, 76, 52, 61, 59, 79, 74, 87, 82, 66, 66, 98, 83, 77, 62, 78, 66, 72, 111, 51, 74, 62, 114, 81, 81, 83, 82, 72, 84, 89, 80]","[0, 671, 381, 280, 263, 350, 188, 188, 772, 83, 77, 744, 297, 331, 162, 1140, 86, 229, 907, 534, 641, 143, 126, 102, 633, 485, 238, 2393, 570, 197, 187, 94, 764, 629, 600, 499, 239]","[0, 144.00295854948925, 109.6943575167197, 31.13931284941481, 86.56878101344532, 23.085126746957123, 38.12654109796314, 31.566591582589506, 147.55442281513524, 3.7051060242437663, 2.3433148018043046, 151.77217432523096, 32.63859841520272, 44.17180015568848, 32.34430160250561, 152.46208181227405, 7.568230077691639, 7.076923076922981, 14.422205101855992, 18.358687864832323, 141.83914549681367, 29.596097615781055, 26.432900424510198, 26.02865967083886, 337.23203256360785, 117.23076923076923, 222.4649430529987, 194.26206906982617, 160.2167171355853, 228.6418868581072, 58.731361137513986, 48.45250221004287, 270.5243648041017, 327.7731933398297, 312.5682883967, 35.85242599468182, 260.890600301053]"
2023-09-14-12:57:02,ca22f2bd46c94451a08424a2cdfb84f3,ganjiaqi,2,1,11,8,12036,"[77, 63, 62, 61, 99, 89, 108, 102, 71, 53, 86, 47, 73, 83, 89, 67, 88, 90, 88]","[0, 730, 499, 660, 230, 178, 237, 152, 521, 526, 584, 2368, 247, 943, 170, 119, 364, 236, 399]","[0, 141.84915731844396, 112.69774205852022, 42.405760466121315, 68.35202996254026, 40.62004635251505, 37.94733192202058, 36.47159874193753, 321.24859956409693, 105.24201469377489, 217.5462951478245, 193.71741756956823, 151.91682557732412, 219.59769563680325, 74.11745037239305, 48.71363003800158, 251.753236935878, 59.489743534485086, 257.01665730099575]"
2023-09-14-12:57:43,72792393dbb7442991eb99c77bb11043,ganjiaqi,2,2,11,8,10071,"[74, 60, 60, 63, 58, 1, 59, 49, 64, 53, 57, 50, 65, 67, 67, 73, 70, 57, 55]","[0, 534, 502, 340, 245, 248, 104, 185, 584, 441, 472, 1992, 254, 288, 158, 119, 473, 263, 331]","[0, 144.46637167305994, 131.70991974251555, 48.33512205083007, 87.47341100663728, 30.85066147766473, 50.225526879226024, 44.77636739311347, 339.4788905952229, 117.00482971875473, 217.26214635017854, 192.52836569615692, 155.12239870464114, 219.56212475565758, 48.916303353052, 54.84631567567026, 252.45141310028623, 51.96357395090801, 257.5502248944762]"
2023-09-14-12:58:31,17b7b4721c9a42f5a2212b686243fc00,ganjiaqi,2,3,11,8,9888,"[64, 64, 91, 63, 74, 91, 73, 80, 83, 81, 81, 80, 97, 64, 65, 82, 74, 64, 39]","[0, 405, 505, 585, 145, 94, 69, 95, 95, 288, 69, 2142, 105, 28, 102, 95, 119, 137, 28]","[0, 160.32186560702186, 116.96355574614286, 42.572875215822705, 59.693100708451624, 36.69803212885093, 30.954824881300052, 32.778980131504085, 332.0279449278596, 101.26863916389173, 226.662327374638, 183.0213231668043, 161.25454903908545, 235.86175872906833, 64.6014637018855, 47.47344321461091, 260.4862090183613, 54.531897185508655, 244.03472446674905]"
2023-09-14-17:50:05,0de2d461bf6f4a75b6e84ff4103f329e,nanjing,1,1,11,7,11468,"[47, 50, 53, 82, 51, 67, 2, 52, 2, 2, 57, 69, 59, 68, 73, 78, 52, 68, 79, 63]","[0, 431, 600, 233, 489, 411, 417, 393, 405, 176, 475, 2326, 886, 255, 233, 277, 159, 141, 132, 132]","[0, 150.69454493513746, 112.90333319849374, 36.005256517656875, 105.23642827664597, 183.5076442616524, 331.4027337884761, 289.0704794044941, 290.14912104075177, 0.0, 191.8408964598391, 139.7146207904118, 73.18329675590029, 73.9626312997753, 199.09753087669733, 210.2005657917152, 56.48927653262145, 71.33387011706485, 117.81723054273533, 94.3322078809842]"
2023-09-14-17:51:05,e40948f3fdb34349a5aa8e8a0eb9a07c,nanjing,1,2,11,7,17349,"[61, 52, 36, 52, 20, 3, 2, 40, 4, 50, 1, 1, 59, 65, 71, 77, 50, 68, 76, 57, 67, 56, 50, 65]","[0, 488, 618, 892, 355, 338, 577, 475, 360, 1094, 493, 149, 309, 4459, 124, 79, 360, 190, 158, 154, 1313, 121, 589, 153]","[0, 144.70210225442966, 98.92861813634475, 50.94398724956619, 119.18135264201304, 188.12846906039636, 349.8934599687925, 292.56672206132197, 249.63591232202185, 126.70963075526274, 142.1051614590726, 0.0, 184.23060371084867, 168.68678772482292, 213.16387225568016, 219.46713651599626, 51.96844672721388, 78.0797997240076, 109.27272897819643, 82.71326914805191, 131.2358258843318, 1.9981689453125, 67.63361602542078, 64.62541612214044]"
2023-09-14-17:51:57,f9f811a6089f46418646136088f59bb3,nanjing,1,3,11,7,7106,"[1, 78, 44, 55, 65, 3, 1, 63, 1, 1, 40, 70, 97, 60, 59, 84, 53, 74]","[0, 318, 320, 188, 240, 277, 231, 120, 212, 153, 467, 1164, 58, 2, 167, 129, 147, 136]","[0, 165.2898792531746, 103.30277782566814, 44.76260890220406, 118.91278776137182, 192.9044982020557, 349.6101987512893, 302.73144605558053, 303.06444097391204, 0.0, 195.69253175297166, 179.88069634033317, 232.15294297244745, 235.7776431001148, 60.051257752894365, 74.00517545484074, 110.02110790063746, 73.72965826649843]"
2023-09-14-17:53:14,fdca091ad0844f889af1ff74c8181b2b,nanjing,1,4,11,7,9965,"[3, 30, 34, 44, 43, 2, 1, 33, 57, 2, 48, 49, 40, 50, 53, 71, 65, 72, 67, 24]","[0, 472, 571, 386, 328, 480, 439, 378, 434, 173, 401, 1322, 541, 452, 254, 495, 185, 99, 157, 162]","[0, 158.36078442448746, 107.01777523789814, 30.45393116759099, 104.0580819885376, 192.66857387818789, 346.76257151863115, 291.97636240401533, 279.4109856397027, 11.600902155058817, 175.53579490590965, 172.9065427058593, 69.0470352071509, 91.05307757301173, 208.8885313521846, 217.1267915327453, 58.81435072480452, 49.945737104264275, 111.40863558813955, 86.06785453613962]"
2023-09-14-17:53:58,df916db0e5fb46c2b146ec1c5c7f6383,nanjing,1,5,11,7,16551,"[1, 45, 50, 64, 1, 59, 84, 1, 7, 50, 1, 2, 49, 84, 115, 42, 44, 58, 85, 68]","[0, 366, 708, 542, 494, 4761, 885, 320, 257, 3470, 244, 158, 274, 1338, 34, 18, 206, 144, 142, 118]","[0, 151.1948043767202, 110.90533697986253, 52.655903949085385, 314.97675765614736, 339.7753417541279, 172.2570043116322, 192.68181112782955, 346.69836369654206, 304.07388228732566, 304.175176350226, 8.329671223958371, 185.19185039259324, 179.09745638445042, 230.0625836947807, 227.35918387600125, 57.244929989626506, 69.92378135389046, 109.61683896890214, 72.50712519046215]"
2023-09-14-17:54:07,38bf3d29504f462da00254c808d9bf4d,ruanyouxiang,1,1,11,12,27709,"[1, 79, 44, 82, 2, 48, 85, 6, 43, 77, 72, 70, 52, 46, 72, 62, 77, 62, 61, 47, 78, 78, 79]","[0, 1036, 132, 1139, 802, 485, 455, 384, 396, 245, 300, 5879, 779, 664, 608, 1042, 471, 261, 658, 561, 519, 666, 267]","[0, 252.3596840944488, 3.837520358252188, 99.83568531592296, 169.00492319012483, 213.55423235386834, 143.56033683611918, 69.4170199320743, 172.04506359163574, 32.40762111371336, 71.18947538962483, 90.21495597321987, 96.68822721122774, 198.9100966831498, 204.27238440682578, 105.81960622918609, 108.66303994459199, 69.39597092951432, 171.01498472356158, 199.61183034204157, 224.7408577117209, 187.9931535488726, 64.31529391404504]"
2023-09-14-17:54:31,eff1360a1f404947afd1287041583ff5,nanjing,2,1,11,7,8927,"[44, 32, 35, 64, 27, 30, 50, 17, 1, 7, 27, 54, 59, 67, 69, 71, 86, 65]","[0, 485, 434, 509, 348, 380, 344, 500, 538, 151, 353, 1316, 290, 408, 166, 116, 147, 136]","[0, 155.8877092738984, 104.13911127493895, 29.864966807717266, 101.58167480508575, 192.82175590816226, 324.700040799404, 280.21845079788943, 298.0688411781077, 2.3311767578125, 186.8629422538961, 177.04217933632725, 205.49455231318746, 213.89958962552782, 67.80245393094373, 45.974567570422366, 108.32155112430463, 73.29651058031678]"
2023-09-14-17:55:11,fe4b0d08f0024ab6aa68d305f1359cfb,nanjing,2,2,11,7,18403,"[5, 57, 51, 64, 38, 48, 2, 42, 5, 8, 56, 54, 47, 57, 68, 60, 65, 55, 61, 39, 45, 77, 71, 48, 68, 57, 49, 51, 5, 2, 42, 50, 1, 50]","[0, 1401, 475, 170, 374, 341, 367, 339, 479, 172, 265, 2758, 275, 597, 158, 110, 235, 155, 2547, 301, 333, 287, 108, 136, 87, 136, 282, 539, 333, 445, 304, 361, 142, 147]","[0, 151.56299322500027, 104.40920535673231, 41.44837522352914, 110.23915432804623, 176.67707568735864, 330.7986809170918, 297.7259973562133, 297.8065272646618, 12.661092122395871, 174.496822330898, 159.0728912887755, 224.3004170200214, 221.15605272853634, 67.6877024625067, 44.508242603741174, 118.11379505248074, 91.98426873916108, 154.90823532222674, 61.981004088654785, 8.792842349844154, 7.484868585286891, 15.552681460563296, 11.775555135157429, 7.609294994534463, 0.0, 11.600912096364091, 199.96890570578913, 187.16033771774858, 349.7168496878667, 295.39990720101815, 282.33820730855035, 14.25706636873051, 132.06474942764814]"
2023-09-14-17:55:41,1e323a4b51444f61869ba7eb5293ff99,ruanyouxiang,1,2,11,12,25045,"[1, 63, 53, 51, 44, 53, 1, 46, 58, 1, 78, 76, 54, 56, 46, 39, 54, 61, 94, 55, 60, 79, 45, 83, 17, 46, 30]","[0, 2451, 107, 530, 1233, 1159, 732, 438, 557, 498, 392, 278, 398, 2094, 315, 763, 467, 375, 406, 649, 801, 530, 1728, 564, 762, 666, 224]","[0, 242.5477481986794, 2.216768481371025, 210.95839711303265, 299.9701873207569, 205.74666803195134, 193.2930296531667, 231.1063151587381, 148.15777590967, 77.18881577825897, 177.17598066611623, 42.41646201653316, 67.87787747123505, 82.82155610860013, 108.36254614141365, 201.32560691576222, 198.26325026653325, 104.12770104539906, 110.70487935271866, 81.96078521158759, 175.0091292261635, 201.20268271384953, 106.32504702561855, 99.48682780272975, 237.14568966143995, 210.9315832503516, 70.93703193678179]"
2023-09-14-17:56:10,e57e76ad43eb439cb7e3a4aae847fef8,nanjing,2,3,12,8,7774,"[1, 63, 57, 77, 72, 64, 75, 83, 72, 2, 69, 67, 68, 64, 84, 64, 45, 80, 75, 82, 67, 79, 103, 64, 75]","[0, 188, 241, 125, 250, 1552, 150, 207, 179, 323, 188, 126, 159, 187, 141, 234, 224, 1649, 133, 139, 232, 196, 61, 168, 144]","[0, 159.88010549095827, 85.40074990629041, 176.8892927254883, 160.42146361352565, 40.64133717252153, 141.71113140363377, 91.13595508291442, 147.90062248769897, 256.4430795555501, 192.48958413978343, 93.24758428337287, 188.8827620810682, 231.79710900554457, 140.5685233408949, 30.56039001061622, 52.105527925167436, 144.2991554658708, 224.75365158841336, 224.26407950537316, 62.12012758876083, 147.59121343549288, 167.85103200048846, 209.66545136163145, 157.02787545318407]"
