accX,accY,accZ,gyroX,gyroY,gyroZ
-0.8171489238739014,3.0338001251220703,10.290034294128418,0.04214845970273018,-0.7213342785835266,-1.0265288352966309
-0.4630111753940582,3.07208514213562,9.59073257446289,-0.026877280324697495,-0.9681165218353271,-1.1224318742752075
0.27427729964256287,2.8375885486602783,8.937192916870117,-0.16378341615200043,-0.6156576871871948,-1.1126582622528076
-0.40797626972198486,2.7921249866485596,9.753743171691895,-0.03787253051996231,-0.5759525895118713,-1.1896250247955322
0.4301098585128784,3.3643085956573486,9.509376525878906,0.20402298867702484,-0.6736881732940674,-1.2794195413589478
1.0549356937408447,3.7256247997283936,8.906085968017578,0.3390202224254608,-0.6724664568901062,-1.2409361600875854
1.8089739084243774,4.039383888244629,8.130512237548828,0.5570927262306213,-0.36452311277389526,-0.952616274356842
1.1841480731964111,3.110370397567749,8.772088050842285,0.6053496599197388,-0.04199574887752533,-0.5756471753120422
0.6191428303718567,2.7514469623565674,8.915657043457031,0.5131117105484009,0.11804623156785965,-0.5927509069442749
1.0453643798828125,2.5286152362823486,8.812766075134277,0.47768256068229675,0.25060009956359863,-0.7162184119224548
2.1945173740386963,2.397010087966919,8.786444664001465,0.46546560525894165,0.32695600390434265,-0.8206732869148254
2.1323041915893555,1.7291134595870972,7.160820960998535,0.4960079789161682,0.3110739588737488,-0.7430956959724426
1.794616937637329,2.0210378170013428,7.749754428863525,0.7470661997795105,0.2145601063966751,-0.8090671896934509
1.2320045232772827,2.571686029434204,7.529614448547363,1.221083641052246,0.1889045089483261,-1.0143119096755981
-3.7262229919433594,2.7035903930664062,7.7353973388671875,2.6474883556365967,1.5346009731292725,-1.5390297174453735
-4.348656177520752,7.364809036254883,15.159428596496582,0.9724688529968262,1.0147700309753418,-2.866400718688965
-2.785245656967163,10.742876052856445,11.094322204589844,-0.17661121487617493,0.6977402567863464,-2.3441264629364014
-2.9455647468566895,7.719245910644531,8.989834785461426,-0.7135459780693054,0.4240806996822357,-1.258039951324463
-1.8251254558563232,3.0266215801239014,10.4790678024292,-0.5443412661552429,-1.01942777633667,-0.8603783845901489
-1.6552350521087646,3.0290143489837646,9.868598937988281,-0.35681116580963135,-1.6956356763839722,-0.8359444737434387
0.6454638838768005,2.294118642807007,9.430413246154785,0.05131116881966591,-2.1696531772613525,-0.9220739603042603
1.5098711252212524,3.5437703132629395,7.368996620178223,0.17592400312423706,-1.9790687561035156,-0.5060105919837952
-0.20428723096847534,3.9340994358062744,8.640482902526855,0.2870981991291046,-1.379827618598938,-0.3050418496131897
-0.6855437159538269,4.3794636726379395,8.62612533569336,0.3158080279827118,-0.9143620133399963,-0.4779116213321686
-1.6193426847457886,4.647459983825684,7.498507976531982,0.4715740978717804,-0.38223767280578613,-0.5176166892051697
-2.0144574642181396,4.90618371963501,7.819146156311035,0.4727957844734192,-0.03161134570837021,-0.5402180552482605
-2.174776792526245,5.143073081970215,8.57348346710205,0.4196520745754242,0.23716144263744354,-0.584199070930481
-1.7341982126235962,4.724030017852783,9.652945518493652,0.25594499707221985,0.34283801913261414,-0.7107207775115967
-1.2888340950012207,3.828815221786499,9.229415893554688,0.24250635504722595,0.18035265803337097,-0.8255600929260254
-1.4470595121383667,4.28823709487915,8.796015739440918,0.2779355049133301,-0.18249061703681946,-0.855491578578949
-0.9705886840820312,4.400999069213867,8.030014038085938,0.1966928243637085,-0.640091598033905,-0.7571451663970947
1.3851451873779297,4.635495662689209,8.865407943725586,0.13988402485847473,-0.1104106456041336,-0.606800377368927
-1.2290135622024536,5.490331649780273,9.011369705200195,0.03542914241552353,0.45767730474472046,-0.6098546385765076
-2.1532411575317383,4.444069862365723,8.599804878234863,0.03420744836330414,0.5022691488265991,-0.5915291905403137
-1.454237937927246,3.182155132293701,8.975478172302246,0.06291726976633072,0.15591876208782196,-0.611687183380127
-1.4518451690673828,3.835993766784668,7.934001445770264,0.01710372418165207,0.2017323076725006,-0.5218926072120667
-1.5140584707260132,3.7782669067382812,8.214261054992676,0.0036650835536420345,0.3434488773345947,-0.419881135225296
-2.2728824615478516,3.9580278396606445,8.451150894165039,0.026877280324697495,0.43385425209999084,-0.25983914732933044
-2.440380096435547,3.96999192237854,8.353044509887695,0.24250635504722595,0.18585027754306793,-0.2531198263168335
-2.236989974975586,3.962813377380371,7.337889671325684,0.5509842038154602,0.09116895496845245,-0.3007659316062927
-3.012563705444336,3.682554006576538,8.041977882385254,0.7287407517433167,0.13576079905033112,-0.44431501626968384
-3.5632119178771973,3.5844483375549316,8.17836856842041,0.7293516397476196,0.07528692483901978,-0.5524349808692932
-3.7645082473754883,4.056133270263672,9.640981674194336,0.6438329815864563,-0.26006820797920227,-0.7821899056434631
-3.1947174072265625,4.499104976654053,9.365806579589844,0.34818294644355774,-0.4695888161659241,-0.9593356251716614
-3.457927703857422,4.094418525695801,9.107381820678711,0.12461283802986145,-0.5270848274230957,-1.10532808303833
-2.9383862018585205,4.338486671447754,9.593125343322754,0.0012216945178806782,-0.8111287951469421,-1.319124698638916
-2.222633123397827,4.877170562744141,9.337093353271484,-0.004886778071522713,-1.4592376947402954,-1.313627004623413
-2.181955099105835,4.316951274871826,8.654839515686035,0.0910162404179573,-1.550864815711975,-1.1633585691452026
-2.244168519973755,3.651447296142578,8.748159408569336,0.11667182296514511,-1.3114126920700073,-1.0894460678100586
-2.339881420135498,3.4480574131011963,8.901300430297852,0.08612946420907974,-1.1733611822128296,-1.087613582611084
-2.548356056213379,3.4743785858154297,9.451948165893555,-0.012216945178806782,-1.0249253511428833,-1.1633585691452026
-2.691925525665283,4.182952880859375,9.741779327392578,0.05008947476744652,-1.5490323305130005,-1.5200934410095215
-1.353440284729004,4.003491401672363,8.903693199157715,-0.3470376133918762,-1.305915117263794,-1.6324893236160278
-0.8003991842269897,3.3164522647857666,8.190332412719727,-0.6286382079124451,-0.7708128690719604,-1.437628984451294
-0.7980063557624817,3.6370904445648193,9.392127990722656,-0.6469635963439941,-0.5173112750053406,-1.0570712089538574
0.023030918091535568,4.206881523132324,8.008478164672852,-0.5437304377555847,-0.6284855008125305,-0.7693621516227722
-2.174776792526245,4.039383888244629,9.282057762145996,-0.35681116580963135,-0.5814502239227295,-0.6581879258155823
-1.5667005777359009,4.53499698638916,8.922835350036621,-0.5321243405342102,-0.3871244490146637,-0.7308787703514099
-1.3773685693740845,3.579662561416626,9.272486686706543,-0.6426876783370972,-0.6009973287582397,-0.634899377822876
-1.41834557056427,3.352344512939453,8.051548957824707,-0.6213080286979675,-0.7555416822433472,-0.6171848177909851
-1.4518451690673828,2.9644081592559814,6.99332332611084,-0.37024980783462524,-0.6578061580657959,-0.7357655167579651
-1.3175479173660278,2.8878378868103027,7.089035987854004,0.05131116881966591,-0.3712424337863922,-0.9208522439002991
-1.028016448020935,3.1677980422973633,7.809575080871582,0.4605788290500641,-0.16783028841018677,-1.106549859046936
-0.8075776696205139,3.4791641235351562,8.96112060546875,0.7360709309577942,-0.12812520563602448,-1.1969552040100098
-1.118943691253662,3.5150563716888428,10.246963500976562,0.6560499668121338,-0.3981196880340576,-1.2201673984527588
-1.4398809671401978,3.428914785385132,10.280463218688965,0.16187451779842377,-0.639480710029602,-1.2653701305389404
-1.6432709693908691,3.493520975112915,9.008976936340332,-0.27617931365966797,-0.6865159869194031,-1.3429477214813232
-1.602592945098877,3.658625841140747,8.496614456176758,-0.34459421038627625,-0.7585959434509277,-1.4926053285598755
-0.9729815125465393,3.962813377380371,8.752944946289062,-0.22792237997055054,-0.6174902319908142,-1.4443483352661133
-0.8916255235671997,3.9197425842285156,8.628518104553223,-0.15828579664230347,-0.4628695249557495,-1.3631056547164917
-1.2290135622024536,3.6777684688568115,9.119346618652344,-0.045202698558568954,-0.12751436233520508,-1.201841950416565
-1.4638092517852783,3.720839262008667,9.282057762145996,-0.020157959312200546,-0.08170082420110703,-1.146865725517273
-1.6241283416748047,4.0010986328125,9.157630920410156,-0.0030542362947016954,-0.16172181069850922,-1.091889500617981
-1.5858432054519653,4.173381805419922,9.008976936340332,-0.0030542362947016954,-0.2435753494501114,-1.0857809782028198
-1.2840484380722046,4.367499351501465,8.72901725769043,-0.011606098152697086,-0.3584146201610565,-1.044243335723877
-1.0686944723129272,4.4033918380737305,8.39611530303955,0.06780404597520828,-0.35413870215415955,-0.8774821162223816
-1.3462618589401245,4.273880481719971,8.20947551727295,0.16492876410484314,-0.2802261710166931,-0.7699729800224304
-1.954637050628662,4.199702739715576,8.913264274597168,0.3005368411540985,-0.11407572776079178,-0.6649072170257568
-2.213061809539795,4.300201416015625,8.992227554321289,0.28098973631858826,-0.09575030952692032,-0.6649072170257568
-2.6321048736572266,4.4751763343811035,10.708778381347656,0.04031591862440109,-0.5893912315368652,-0.8988617658615112
-1.5355939865112305,4.805386066436768,10.352248191833496,-0.20226679742336273,-0.9015341997146606,-0.911078691482544
